"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness,total_time
"[15, 10, 50, 100, 10, 2.5, 2.5]",3.3011576322902573e-127,2.1843044959996405
"[15, 10, 50, 100, 10, 2.5, 2.5]",4.276602402080731e-139,4.369021870999859
"[15, 10, 50, 100, 10, 2.5, 2.5]",5.3223295471620295e-132,2.9903344089998427
"[15, 10, 50, 100, 10, 2.5, 2.5]",9.725500668182256e-133,2.759855002000222
"[15, 10, 50, 100, 10, 2.5, 2.5]",1.6272472662228835e-129,2.7429166590000023
"[15, 10, 50, 100, 10, 2.5, 2.5]",4.052149488053772e-152,4.794698341000185
"[15, 10, 50, 100, 10, 2.5, 2.5]",4.3870336616392e-133,2.8680067000000236
"[15, 10, 50, 100, 10, 2.5, 2.5]",5.5125496519383e-138,2.4441501669998615
"[15, 10, 50, 100, 10, 2.5, 2.5]",4.170236748421438e-136,2.6147307189999083
"[15, 10, 50, 100, 10, 2.5, 2.5]",8.673905607547404e-130,2.4796965690002253
"[15, 10, 50, 100, 10, 2.5, 2.5]",3.3367910498861684e-133,2.4015642780000235
"[15, 10, 50, 100, 10, 2.5, 2.5]",4.5808754202001253e-147,2.833300521000183
"[15, 10, 50, 200, 10, 2.5, 2.5]",9.873153193651224e-213,2.7478362289998586
"[15, 10, 50, 200, 10, 2.5, 2.5]",2.1997779313279696e-218,2.8560723679997864
"[15, 10, 50, 200, 10, 2.5, 2.5]",3.494206924706927e-213,2.790871853000226
"[15, 10, 50, 200, 10, 2.5, 2.5]",3.138055028248093e-216,3.5730974870002683
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.0201150771516704e-213,2.573947971999587
"[15, 10, 50, 200, 10, 2.5, 2.5]",4.2115037955052515e-215,2.1754259429999365
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.311912655744437e-216,2.294326515999728
"[15, 10, 50, 200, 10, 2.5, 2.5]",2.99033262866309e-214,2.379668110000239
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.0761902282071577e-219,5.690040495000176
"[15, 10, 50, 200, 10, 2.5, 2.5]",6.236983030900756e-216,2.630077723999875
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.0451790592314159e-225,3.5917419340003107
"[15, 10, 50, 200, 10, 2.5, 2.5]",8.3915862009336805e-227,2.447867487000167
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.2974923679342068e-212,2.4302596709999307
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.0167774791707823e-202,3.6324999529997513
"[15, 10, 50, 200, 10, 2.5, 2.5]",6.099309778037147e-216,2.410640639999656
"[15, 10, 50, 200, 10, 2.5, 2.5]",3.2194589668479686e-209,2.210628510999868
"[15, 10, 50, 200, 10, 2.5, 2.5]",2.2754459377520664e-208,2.265503760000229
"[15, 10, 50, 200, 10, 2.5, 2.5]",3.9560140509486536e-235,2.4531346230000963
"[15, 10, 50, 200, 10, 2.5, 2.5]",1.9114815086363975e-229,2.7644825229999697
"[15, 10, 50, 200, 10, 2.5, 2.5]",3.5903959797623014e-216,3.0092158540001037
"[15, 10, 50, 300, 10, 2.5, 2.5]",9.019108214199737e-291,5.328514378999898
"[15, 10, 50, 300, 10, 2.5, 2.5]",4.553485837597989e-284,2.6816643960000874
"[15, 10, 50, 300, 10, 2.5, 2.5]",4.522477815255947e-276,4.075857484000153
"[15, 10, 50, 300, 10, 2.5, 2.5]",4.959309497769516e-274,3.0239629019997665
"[15, 10, 50, 300, 10, 2.5, 2.5]",6.5230272147416235e-282,3.075238864000312
"[15, 10, 50, 300, 10, 2.5, 2.5]",4.777613772988163e-285,4.0412086890000865
"[15, 10, 50, 300, 10, 2.5, 2.5]",8.226364706338318e-272,3.180570380000063
"[15, 10, 50, 300, 10, 2.5, 2.5]",4.0305082996837304e-286,4.0110558529995615
"[15, 10, 50, 300, 10, 2.5, 2.5]",5.532966809049717e-272,3.029771212999549
"[15, 10, 50, 300, 10, 2.5, 2.5]",2.467229379045234e-282,3.6893141059999834
"[15, 10, 50, 300, 10, 2.5, 2.5]",9.917375032732817e-272,2.878111762000117
