"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f17', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",11.17,0.005
"['f17', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",13.13,0.068
"['f17', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",13.24,0.039
"['f17', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",13.24,0.009
"['f17', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",11.45,0.004
"['f17', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",13.18,0.017
"['f17', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",13.56,0.001
"['f17', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",14.06,0.002
"['f17', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",13.11,0.011
"['f17', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",13.29,0.017
"['f17', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",11.01,0.874
"['f17', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",13.36,0.946
"['f17', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",11.19,0.932
"['f17', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",13.24,0.559
"['f17', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",11.25,1.035
"['f17', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",13.69,0.998
"['f17', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",11.15,0.599
"['f17', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",13.57,1.042
"['f17', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",13.18,0.165
"['f17', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",13.26,0.239
"['f17', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",13.62,0.43
"['f17', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",13.54,0.5
"['f17', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",16.6,0.026
"['f17', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",20.73,0.052
"['f17', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",16.48,0.001
"['f17', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",20.07,0.007
"['f17', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",21.12,0.044
"['f17', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",20.03,0.097
"['f17', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",17.17,0.096
"['f17', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",26.63,0.004
"['f17', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",21.81,0.015
"['f17', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",20.08,0.006
"['f17', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",20.41,0.006
"['f17', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",20.07,0.007
"['f17', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",16.83,1.206
"['f17', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",19.75,0.788
"['f17', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",16.61,1.256
"['f17', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",19.85,0.806
"['f17', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",16.72,0.56
"['f17', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",20.35,1.024
"['f17', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",16.64,0.333
"['f17', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",19.74,0.242
"['f17', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",20.24,0.185
"['f17', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",20.49,0.385
"['f17', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",20.83,0.555
"['f17', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",19.94,0.341
"['f17', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",32.88,0.048
"['f17', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",37.78,0.011
"['f17', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",32.02,0.037
"['f17', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",37.58,0.005
"['f17', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",31.1,0.033
"['f17', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",36.84,0.009
"['f17', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",30.67,0.002
"['f17', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",42.76,0.006
"['f17', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",37.16,0.058
"['f17', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",36.92,0.016
"['f17', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",37.59,0.04
"['f17', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",37.03,0.076
"['f17', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",31.43,0.853
"['f17', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",37.09,0.279
"['f17', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",31.8,0.93
"['f17', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",37.63,1.157
"['f17', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",32.19,1.05
"['f17', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",37.77,0.984
"['f17', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",31.19,1.002
"['f17', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",37.68,0.868
"['f17', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",38.3,1.091
"['f17', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",39.37,0.961
"['f17', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",37.51,1.13
"['f17', 100, -100, 100, 200, 0.5, 0.06, 150, 30000]",37.16,0.839
