"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",gBest_fitness,total_time
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",32793559.057,3.7514760000049137
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",3494658.462,3.6835859999991953
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",4332084968.959,3.818189000012353
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",9746.287,3.8552389999968
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",272797435.874,4.582792999979574
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",2899715628.607,4.600686999998288
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",220510858.764,4.763845000008587
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",302734389.531,4.703188000014052
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",29495302.325,4.725892999995267
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",66064.211,4.604380999982823
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",131857341.223,4.586708000017097
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",34178219.873,4.733092999988003
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",878025136.963,4.685150999983307
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",196934358.71,4.676680999982636
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",1917571555.261,5.012438000005204
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",54197575.124,4.982205999986036
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",226829.244,4.738710999983596
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",213991.5,4.536472000007052
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",215929649.45,4.749653000006219
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",2239656294.128,4.7412659999972675
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",441192590.327,4.425090000004275
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",12623.32,4.563659000006737
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",2088576.303,4.740084999997634
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",95641043.718,4.984643000003416
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",28839735.928,3.9810010000073817
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",191466063.382,3.802442999993218
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",803669027.11,3.896208000020124
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",39584174.852,3.991959000006318
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",96447594.535,4.2010210000153165
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",29072996.768,3.7647839999990538
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",108672512.297,3.8884350000007544
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",43379503.664,4.1966170000087
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",486518910.749,3.988701000023866
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",7516159.656,3.775511000014376
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",187494.595,3.855553000001237
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",610984728.348,4.350722000002861
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",107469.05,4.04684900000575
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",5877671656.063,3.9572190000035334
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",7083917.654,3.927812999987509
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",19695525.406,4.13242400001036
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",15599834.878,3.7188220000243746
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",163346791.058,3.902442999999039
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",941056168.026,3.744831999996677
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",625320842.902,3.857605000026524
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",1618048.911,5.175630000012461
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",1685021.386,4.950293000001693
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",7819777.618,4.618017000000691
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",17215173.515,5.064171999983955
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",58785243.925,5.236498999991454
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",44592457.432,4.768060000002151
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",720.991,4.582021999987774
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",6625358.9,4.700695000006817
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",16317645.605,4.714319999999134
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",134989750.944,4.623492000013357
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",34047589.116,4.607813999988139
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",1538.575,4.488130999990972
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",175489054.803,4.385593000013614
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",588223.505,4.941362000012305
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",7841918.207,5.1610619999992196
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",239742.415,4.930097000004025
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",885806.168,4.849412999988999
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",32520.276,4.550792000023648
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",88450.726,4.860300000000279
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",1641794637.601,4.55415300000459
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",8720.311,5.02384899999015
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",86854606.736,4.810346999991452
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",8997276.345,5.215584000019589
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",44668161.115,4.468370000016876
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",226107.893,4.729396999988239
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",222729.446,4.507284999999683
