"combination [range0, range1, ep_max, c1, c2]",gBest_fitness
217,1.7146592677959302e-187
218,1.7146592677959302e-187
219,1.7146592677959302e-187
220,1.7146592677959302e-187
221,1.7146592677959302e-187
222,1.7146592677959302e-187
223,1.7146592677959302e-187
224,1.7146592677959302e-187
225,1.7146592677959302e-187
226,1.7146592677959302e-187
227,1.7146592677959302e-187
228,6.968535213600018e-188
229,5.703270717213736e-191
230,3.0702288405141165e-192
231,2.174489083257621e-195
232,2.174489083257621e-195
233,3.7732085753698895e-196
234,6.186894638612564e-197
235,3.970305938010192e-199
236,1.0830309315034406e-199
237,3.49919982375115e-201
238,3.49919982375115e-201
239,1.8866832892040952e-202
240,2.9254778733829293e-205
241,1.0281994775562335e-205
242,1.0281994775562335e-205
243,3.284660229832503e-207
244,3.284660229832503e-207
245,3.226164110972684e-210
246,3.730076113585539e-215
247,1.191262171325289e-216
248,1.191262171325289e-216
249,8.363867548888988e-219
250,7.501468989823786e-222
251,6.949301902236679e-224
252,6.949301902236679e-224
253,6.949301902236679e-224
254,6.949301902236679e-224
255,2.119192706975916e-227
256,2.119192706975916e-227
257,2.119192706975916e-227
258,2.5086754121278924e-231
259,2.5086754121278924e-231
260,2.5086754121278924e-231
261,1.89470599391909e-231
262,1.89470599391909e-231
263,1.89470599391909e-231
264,1.89470599391909e-231
265,2.9016242325397996e-234
266,2.9016242325397996e-234
267,2.9016242325397996e-234
268,2.9016242325397996e-234
269,2.9016242325397996e-234
270,1.269117102474171e-234
271,1.269117102474171e-234
272,1.269117102474171e-234
273,1.7830647202851694e-235
274,1.7830647202851694e-235
275,1.7830647202851694e-235
276,2.1307493760075626e-237
277,1.5177382260556405e-245
278,1.5177382260556405e-245
279,3.516246697014915e-247
280,3.516246697014915e-247
281,3.516246697014915e-247
282,3.516246697014915e-247
283,3.516246697014915e-247
284,3.516246697014915e-247
285,3.516246697014915e-247
286,5.841359422303153e-249
287,8.47651789546153e-251
288,8.47651789546153e-251
289,8.47651789546153e-251
290,8.47651789546153e-251
291,8.47651789546153e-251
292,8.47651789546153e-251
293,4.115914650705058e-253
294,9.29295604287132e-255
295,1.9781790718451615e-258
296,1.9781790718451615e-258
297,7.928188179356904e-259
298,7.928188179356904e-259
299,7.928188179356904e-259
300,1.6809607287734203e-259
