"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 100, 300]",1.2018758034641823e-227,2.8703995370000257
"[-10, 10, 100, 300]",4.420488745114897e-235,2.962862262000016
"[-10, 10, 100, 300]",1.2412873391427447e-239,2.9854801540000153
"[-10, 10, 100, 300]",1.458640263876017e-216,2.8803380479999987
"[-10, 10, 100, 300]",3.179146840290839e-230,2.877928416000003
"[-10, 10, 100, 300]",1.3379839853740698e-231,3.0214380349999885
"[-10, 10, 100, 300]",8.115245512011579e-226,3.076977159000023
"[-10, 10, 100, 300]",1.0017907917312782e-229,2.891905686000001
"[-10, 10, 100, 300]",6.560376861085169e-231,2.8816956530000084
"[-10, 10, 100, 300]",3.751759573785045e-238,3.100973649999986
"[-10, 10, 100, 300]",2.412451698680996e-229,3.1752593919999867
"[-10, 10, 100, 300]",1.421895273537555e-218,2.9472292720000155
"[-10, 10, 100, 300]",1.616093666676441e-233,3.986280721000014
"[-10, 10, 100, 300]",1.072495769580797e-224,3.2951914650000163
"[-10, 10, 100, 300]",5.146822380051413e-232,2.858736261000047
"[-10, 10, 150, 300]",1.2858341369483116e-230,4.676578274000008
"[-10, 10, 150, 300]",6.33793968100745e-229,4.269295725000006
"[-10, 10, 150, 300]",2.1743282300338725e-241,4.253660870000033
"[-10, 10, 150, 300]",2.1789055254733285e-248,4.739313638999988
"[-10, 10, 150, 300]",3.975921614624327e-240,4.606126485999994
"[-10, 10, 150, 300]",6.45227924487143e-228,4.756114822999962
"[-10, 10, 150, 300]",1.1536807585404234e-250,4.761618489
"[-10, 10, 150, 300]",2.1464946346078102e-232,5.406680258000051
"[-10, 10, 150, 300]",2.247275648777708e-228,4.7385629910000375
"[-10, 10, 150, 300]",1.9605564862820135e-240,4.770125216999986
"[-10, 10, 150, 300]",2.500728381002491e-227,5.853718251999965
"[-10, 10, 150, 300]",5.55866097384947e-248,5.6438221960000305
"[-10, 10, 150, 300]",3.5107067228070997e-227,4.905951070000015
