"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f1', 30, -100, 100, 100, 250, 25000]",1.0707186432363477e-31,3.328991999999971
"['f1', 30, -100, 100, 100, 250, 25000]",3.6751959452659585e-35,3.2868690000000242
"['f1', 30, -100, 100, 100, 250, 25000]",4.897976837128168e-38,3.3364179999999806
"['f1', 30, -100, 100, 100, 250, 25000]",3.0272932343549467e-34,3.3725650000000087
"['f1', 30, -100, 100, 100, 250, 25000]",3.0372313312196682e-46,3.4050740000000133
"['f1', 30, -100, 100, 100, 250, 25000]",1.2260675199124527e-37,3.114920999999981
"['f1', 30, -100, 100, 100, 300, 30000]",2.8195094563800104e-43,3.912614000000076
"['f1', 30, -100, 100, 100, 300, 30000]",4.0063893618664823e-32,3.9299350000000004
"['f1', 30, -100, 100, 100, 300, 30000]",1.2637649462267816e-36,3.8160879999999224
"['f1', 30, -100, 100, 100, 300, 30000]",4.39148441670348e-31,4.079651000000013
"['f1', 30, -100, 100, 100, 300, 30000]",1.3239516677486405e-37,3.9062880000000177
"['f1', 30, -100, 100, 100, 300, 30000]",1.2017896547617076e-33,3.9120130000000017
"['f1', 30, -100, 100, 100, 300, 30000]",1.0243566475818579e-37,3.921269999999936
"['f1', 30, -100, 100, 100, 300, 30000]",1.1736556092113916e-36,3.980385999999953
"['f1', 30, -100, 100, 100, 300, 30000]",3.894558176960156e-44,3.880390000000034
"['f1', 30, -100, 100, 100, 300, 30000]",7.631945617474235e-41,3.931331
"['f1', 30, -100, 100, 100, 300, 30000]",6.153377446482152e-37,3.9566800000000057
"['f1', 30, -100, 100, 100, 300, 30000]",2.838323459567108e-37,4.0997639999999365
"['f1', 30, -100, 100, 100, 300, 30000]",2.2432221536683537e-37,3.9990119999999933
"['f1', 30, -100, 100, 100, 300, 30000]",7.709976262018091e-32,3.903385000000071
"['f1', 30, -100, 100, 100, 300, 30000]",8.525195974488207e-41,3.8259610000000066
"['f1', 30, -100, 100, 100, 300, 30000]",1.0944155937083107e-39,3.8996669999999085
"['f1', 30, -100, 100, 100, 300, 30000]",4.835561813841339e-34,4.244051000000013
"['f1', 30, -100, 100, 100, 300, 30000]",4.5225434810162764e-41,3.9341799999999694
"['f1', 30, -100, 100, 100, 300, 30000]",2.1038354831489704e-44,3.813898999999992
"['f1', 30, -100, 100, 100, 300, 30000]",8.452844156964006e-41,3.8034850000000233
"['f1', 30, -100, 100, 200, 150, 30000]",1.4956950551286953e-50,4.0681789999999864
"['f1', 30, -100, 100, 200, 150, 30000]",2.347272375343849e-41,4.118471999999997
"['f1', 30, -100, 100, 200, 150, 30000]",1.8192438640037788e-36,3.890987999999993
"['f1', 30, -100, 100, 200, 150, 30000]",1.0199221957357426e-49,3.934605999999917
"['f1', 30, -100, 100, 200, 150, 30000]",6.263816167479446e-42,4.031312999999955
"['f1', 30, -100, 100, 200, 150, 30000]",8.34300395131136e-42,4.270467000000053
"['f1', 30, -100, 100, 200, 150, 30000]",5.655871029294125e-44,3.8456919999999855
"['f1', 30, -100, 100, 200, 150, 30000]",2.7848906402965997e-41,3.913340999999946
"['f1', 30, -100, 100, 200, 150, 30000]",5.91166049106356e-43,4.095015999999987
"['f1', 30, -100, 100, 200, 150, 30000]",9.77677950401542e-42,4.033110999999963
"['f1', 30, -100, 100, 200, 150, 30000]",1.2856898338644153e-35,3.8616650000000163
"['f1', 30, -100, 100, 200, 150, 30000]",6.297154905442229e-41,3.855980999999929
"['f1', 30, -100, 100, 200, 150, 30000]",6.524906377482194e-44,3.972645000000057
"['f1', 30, -100, 100, 200, 150, 30000]",4.722433032779098e-43,3.8720140000000356
"['f1', 30, -100, 100, 200, 150, 30000]",2.6272828252457987e-38,3.966282000000092
"['f1', 30, -100, 100, 200, 150, 30000]",2.496108122654962e-36,3.9372450000000754
"['f1', 30, -100, 100, 200, 150, 30000]",1.229800597470998e-40,3.818265999999994
"['f1', 30, -100, 100, 200, 150, 30000]",5.680602368915403e-42,3.977084999999988
"['f1', 30, -100, 100, 200, 150, 30000]",1.1683583726614843e-41,3.8798379999999497
"['f1', 30, -100, 100, 200, 150, 30000]",2.3888648764062355e-37,3.916378000000009
"['f1', 50, -10, 10, 100, 250, 25000]",1.4403929348834302e-188,3.984913000000006
"['f1', 50, -10, 10, 100, 250, 25000]",6.115186691812739e-197,3.7600909999999885
"['f1', 50, -10, 10, 100, 250, 25000]",5.396270952976591e-200,3.601169000000027
"['f1', 50, -10, 10, 100, 250, 25000]",2.781488884168646e-207,3.864644999999996
"['f1', 50, -10, 10, 100, 250, 25000]",1.4338834781770813e-190,4.095334999999977
"['f1', 50, -10, 10, 100, 250, 25000]",1.1626982784150796e-185,3.849219000000062
"['f1', 50, -10, 10, 100, 250, 25000]",1.8274733575216283e-184,3.772939000000065
"['f1', 50, -10, 10, 100, 250, 25000]",3.7740227117858174e-199,3.5153679999999667
"['f1', 50, -10, 10, 100, 250, 25000]",1.95794339936984e-201,3.4938849999999775
"['f1', 50, -10, 10, 100, 250, 25000]",2.8436017099256714e-210,3.7686559999999645
"['f1', 50, -10, 10, 100, 250, 25000]",4.1871265125001134e-190,3.782385999999974
"['f1', 50, -10, 10, 100, 250, 25000]",2.294583777100727e-181,3.6177619999999706
"['f1', 50, -10, 10, 100, 250, 25000]",2.8046249156874865e-186,3.5989829999999756
"['f1', 50, -10, 10, 100, 250, 25000]",9.476059537014542e-183,3.6071739999999863
"['f1', 50, -10, 10, 100, 250, 25000]",2.3799157510117165e-195,3.5932370000000446
"['f1', 50, -10, 10, 100, 250, 25000]",2.3164170674928133e-192,3.582266000000004
"['f1', 50, -10, 10, 100, 250, 25000]",2.160121616450585e-198,3.7911609999999882
"['f1', 50, -10, 10, 100, 250, 25000]",4.0700459200815346e-200,3.6404569999999694
"['f1', 50, -10, 10, 100, 250, 25000]",1.2757158337655787e-197,3.6387549999999464
"['f1', 50, -10, 10, 100, 250, 25000]",6.000553854448994e-197,3.5607029999999895
"['f1', 50, -10, 10, 100, 300, 30000]",8.502481201513622e-198,4.482323000000065
"['f1', 50, -10, 10, 100, 300, 30000]",1.0676395900547859e-215,4.447319999999991
"['f1', 50, -10, 10, 100, 300, 30000]",6.3965529743558955e-199,4.430174999999963
"['f1', 50, -10, 10, 100, 300, 30000]",2.9398815207476054e-217,4.41918499999997
"['f1', 50, -10, 10, 100, 300, 30000]",8.554258253232846e-219,4.368761999999947
"['f1', 50, -10, 10, 100, 300, 30000]",1.6040857590865344e-204,4.6145159999999805
"['f1', 50, -10, 10, 100, 300, 30000]",4.173120256276896e-212,4.462716
"['f1', 50, -10, 10, 100, 300, 30000]",1.7667646558606153e-218,4.444624999999974
"['f1', 50, -10, 10, 100, 300, 30000]",2.3205963702692347e-217,4.34036900000001
"['f1', 50, -10, 10, 100, 300, 30000]",2.0452819654958822e-210,4.345132000000035
"['f1', 50, -10, 10, 100, 300, 30000]",1.7323762020910134e-211,4.484036999999944
"['f1', 50, -10, 10, 100, 300, 30000]",2.5908773201656544e-209,4.237514999999917
"['f1', 50, -10, 10, 100, 300, 30000]",9.119489422396053e-215,4.261054999999942
"['f1', 50, -10, 10, 100, 300, 30000]",1.4377142148277744e-220,4.328485000000001
