"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 50, 200, 2, 2]",2.6828598877403342,2.2
"[-10, 10, 50, 200, 2, 2]",8.186834644069954,2.14
"[-10, 10, 50, 200, 2, 2]",3.221974975870363,2.26
"[-10, 10, 50, 200, 2, 2]",6.520046389957384,2.22
"[-10, 10, 100, 200, 2, 2]",1.6264520521892953,4.31
"[-10, 10, 100, 200, 2, 2]",1.9573023891528498,7.5
"[-10, 10, 100, 200, 2, 2]",1.919485815895392,4.37
"[-10, 10, 100, 200, 2, 2]",1.557138585183944,6.83
"[-10, 10, 100, 200, 2, 2]",2.2697198196194233,5.67
"[-10, 10, 100, 200, 2, 2]",1.7752207880715531,5.76
"[-10, 10, 100, 200, 2, 2]",1.3012682674492455,5.78
"[-10, 10, 100, 200, 2, 2]",2.7710662369936854,6.22
"[-10, 10, 100, 200, 2, 2]",2.674778705611128,5.95
"[-10, 10, 100, 200, 2, 2]",1.3835303434411705,7.84
"[-10, 10, 100, 200, 2, 2]",3.099819459781785,4.26
"[-10, 10, 100, 200, 2, 2]",2.7140518449588322,4.88
"[-10, 10, 100, 200, 2, 2]",1.9897920946735428,5.46
"[-10, 10, 100, 200, 2, 2]",2.464468390924837,4.36
"[-10, 10, 100, 200, 2, 2]",1.6497380105596864,4.36
"[-10, 10, 100, 200, 2, 2]",2.1588379219665814,4.41
"[-10, 10, 100, 200, 2, 2]",1.6402026014926947,4.57
"[-10, 10, 100, 200, 2, 2]",1.7436708860292176,4.27
"[-10, 10, 100, 200, 2, 2]",0.8942430393456511,4.29
"[-10, 10, 100, 200, 2, 2]",2.4351159430993317,4.18
"[-10, 10, 150, 200, 2, 2]",1.114491089853932,8.91
"[-10, 10, 150, 200, 2, 2]",1.4926621303595626,9.55
"[-10, 10, 150, 200, 2, 2]",1.5755034925129987,10.09
"[-10, 10, 150, 200, 2, 2]",1.3051480357016585,8.8
"[-10, 10, 150, 200, 2, 2]",1.0986857614409002,8.64
"[-10, 10, 150, 200, 2, 2]",1.2814170417732227,9.56
"[-10, 10, 150, 200, 2, 2]",1.3096252561372028,9.93
"[-10, 10, 150, 200, 2, 2]",1.4277234667364356,9.99
"[-10, 10, 150, 200, 2, 2]",1.2403667499149194,8.48
"[-10, 10, 150, 200, 2, 2]",1.6939883497458588,7.04
"[-10, 10, 150, 200, 2, 2]",0.8015810753709784,6.06
"[-10, 10, 150, 200, 2, 2]",1.340086560695709,5.82
"[-10, 10, 150, 200, 2, 2]",2.1062224814725834,5.82
"[-10, 10, 150, 200, 2, 2]",1.4928262978155131,5.8
"[-10, 10, 150, 200, 2, 2]",1.0740527008639735,5.8
"[-10, 10, 150, 200, 2, 2]",1.8183120685966476,5.84
"[-10, 10, 150, 200, 2, 2]",0.6240482523358347,5.81
"[-10, 10, 150, 200, 2, 2]",1.4803246594988593,7.0
"[-10, 10, 150, 200, 2, 2]",1.0725390184965424,6.69
"[-10, 10, 150, 200, 2, 2]",1.9914357165684733,7.59
"[-10, 10, 50, 200, 2, 2.5]",2.910534265788784,2.87
"[-10, 10, 50, 200, 2, 2.5]",2.236087826688731,2.08
"[-10, 10, 50, 200, 2, 2.5]",2.824492742815279,2.01
"[-10, 10, 50, 200, 2, 2.5]",3.483953386164687,1.85
"[-10, 10, 50, 200, 2, 2.5]",3.9038717078313794,2.57
"[-10, 10, 50, 200, 2, 2.5]",2.3543345480794162,2.48
"[-10, 10, 50, 200, 2, 2.5]",3.4624662698784565,1.97
"[-10, 10, 50, 200, 2, 2.5]",2.8214731069526993,1.9
"[-10, 10, 50, 200, 2, 2.5]",3.257501006452636,1.85
"[-10, 10, 50, 200, 2, 2.5]",2.4883639678611478,1.76
"[-10, 10, 50, 200, 2, 2.5]",3.17567927811989,1.83
"[-10, 10, 50, 200, 2, 2.5]",4.260206795844763,1.75
"[-10, 10, 50, 200, 2, 2.5]",4.014881585010953,1.72
"[-10, 10, 50, 200, 2, 2.5]",2.7543850510060044,1.78
"[-10, 10, 50, 200, 2, 2.5]",1.8724061888313932,1.86
"[-10, 10, 50, 200, 2, 2.5]",3.997705501992026,1.74
"[-10, 10, 50, 200, 2, 2.5]",4.416633054129898,1.76
"[-10, 10, 50, 200, 2, 2.5]",3.2657389760409115,2.03
"[-10, 10, 50, 200, 2, 2.5]",1.7950938591003627,2.44
"[-10, 10, 50, 200, 2, 2.5]",2.105277198997619,1.93
"[-10, 10, 100, 200, 2, 2.5]",1.00603518729444,3.63
"[-10, 10, 100, 200, 2, 2.5]",1.2348894734051628,3.58
"[-10, 10, 100, 200, 2, 2.5]",1.5342475189481541,3.49
"[-10, 10, 100, 200, 2, 2.5]",1.17262233637909,3.6
"[-10, 10, 100, 200, 2, 2.5]",0.7498330777661265,3.38
"[-10, 10, 100, 200, 2, 2.5]",0.8372588447091375,4.66
"[-10, 10, 100, 200, 2, 2.5]",1.544405926730295,3.42
"[-10, 10, 100, 200, 2, 2.5]",1.2450897142054085,3.83
"[-10, 10, 100, 200, 2, 2.5]",0.6759693184696852,3.71
"[-10, 10, 100, 200, 2, 2.5]",1.876450251921633,3.59
"[-10, 10, 100, 200, 2, 2.5]",1.112626954214663,3.5
"[-10, 10, 100, 200, 2, 2.5]",0.7112685443482442,3.52
"[-10, 10, 100, 200, 2, 2.5]",1.424375580840774,3.51
"[-10, 10, 100, 200, 2, 2.5]",1.2102389309385784,3.87
"[-10, 10, 100, 200, 2, 2.5]",1.612070185668473,3.47
"[-10, 10, 100, 200, 2, 2.5]",1.4343856767954744,3.61
"[-10, 10, 100, 200, 2, 2.5]",1.475740734734615,3.67
"[-10, 10, 100, 200, 2, 2.5]",1.5820939021184552,3.54
"[-10, 10, 100, 200, 2, 2.5]",1.4479879529497464,3.85
"[-10, 10, 100, 200, 2, 2.5]",0.9117762323808782,3.58
"[-10, 10, 150, 200, 2, 2.5]",1.053767874620122,6.0
"[-10, 10, 150, 200, 2, 2.5]",0.7716438560254405,6.3
