"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness,total_time
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",10.11764549158425,6.643562338000038
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",13.448162023706118,7.410177374999989
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",10.794918775571015,15.38787765699999
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",9.86642834992597,14.924290872000029
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.922783475845499,14.114584227000023
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",9.547835398370445,13.709653459999913
"[20, 5, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",14.180762618568348,14.524321197999939
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.94557455128017,5.951525090000018
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.950167367376634,5.399669696000046
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.9164729231866655,5.430671150999956
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.404543575528801,5.171691361999933
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.98136045124724,5.975773974999925
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.834756618792604,5.02604316299994
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",12.044755529864348,5.482206038999948
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",9.774987211248714,4.951380932000006
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.31800499810808,4.907471962000045
"[20, 5, 20, 200, 5, 2.5, 2.5, 2.5, 2.5]",12.964540486459624,4.642267714000013
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",12.785040596328184,6.450636815000053
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.791063171128975,6.962608934999935
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",9.702623866299286,5.29147741099996
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",12.418884255657197,5.042671729999938
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.29582787815298,4.808600965999972
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",13.085386777283633,4.695102356999996
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.29632837438505,4.958790845000067
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",11.410802548698172,4.685933156000033
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.340289400458832,4.636223803999997
"[20, 5, 20, 300, 5, 2.5, 2.5, 2.5, 2.5]",10.595722183030611,4.6744406299999355
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.926679069096639,2.4526844189999792
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.332165883429356,2.7123584070000106
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.402918557213431,3.712061227999925
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.467128037055517,2.4093936030000123
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",8.071192392182091,2.408051392999937
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",4.80054359692386,2.371534607000058
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.878300830002624,2.3734123949999457
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",3.931363745012051,2.3563494869999886
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",4.744956293194069,2.396963349000089
"[20, 10, 10, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.457106349604166,2.3713125379999838
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",6.866640387973309,3.5931242650000286
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",4.826340600954682,3.5653124830000706
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.766492438587389,3.728901131999919
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",5.621566708371258,3.6185800660000496
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",4.842948120376084,3.731922854000004
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.276682661254237,3.521885439000016
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",4.56553358676622,3.5353289979999545
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",4.5704161349495545,3.892841546999989
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",8.810383957734263,3.7780959000000394
"[20, 10, 10, 200, 5, 2.5, 2.5, 2.5, 2.5]",7.218495000408705,5.259924048000016
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.739184096261822,5.0371633979999615
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.1129756338976255,5.006978372000049
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.898518664246627,5.071350327000005
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",8.65658948133987,4.629051355999991
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.558258316958163,4.792288241000051
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",5.6116489265866525,5.1089317370000344
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",6.177769910640044,4.936841491999985
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.37287428217725,5.114837554000019
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",7.5776488759045195,5.421652174000201
"[20, 10, 10, 300, 5, 2.5, 2.5, 2.5, 2.5]",4.87494826228717,4.683864556999879
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.028848026693006,3.7504292090000035
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.524686741207878,3.6020625329999802
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.3892524922236955,4.898956837000014
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",7.198854436535645,5.597903876000146
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",6.805311230319869,5.1731511379998665
"[20, 10, 20, 100, 5, 2.5, 2.5, 2.5, 2.5]",5.39741522832569,4.790866255000083
