"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",4598.15093268684,5.53
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",3241.7041431631687,5.35
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",6918.3031426346215,5.59
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",6824.2083115944815,5.47
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",247.74799911583142,5.74
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",2793.5763095513885,5.46
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",8757.619444599164,5.75
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",512.0329713559904,5.75
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",11755.266243374199,5.94
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",9686.23300988443,5.65
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",1837.7995369339742,5.6
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",3177.1373584017674,5.49
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",6170.564163938255,5.57
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",1987.3454710999426,5.63
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",6657.297837440717,5.87
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",1445.9890191713457,5.72
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",4208.311951184275,5.64
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",4575.474110626607,5.53
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",7480.904870257209,5.82
"['f11', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",694.2056463456978,5.36
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",667.6779173397601,5.42
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",2059.2081439280128,5.61
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",150.07708802905867,5.92
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",3409.0566549548485,5.47
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",621.4625477925584,5.69
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",4319.937844413029,5.48
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",5992.815581630213,5.54
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",1581.2399039065206,5.53
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",717.7998410112355,5.45
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",1682.0938450059414,5.66
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",4279.752877644655,5.35
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",409.5974570181174,5.62
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",838.6595359864781,5.45
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",797.3705893558471,5.46
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",1277.6001459680438,5.61
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",6738.637310161976,5.9
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",7116.1713827780395,5.69
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",490.0765921943319,5.67
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",3860.909932098576,5.66
"['f11', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",191.4753798405792,6.07
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",1570.1313289790767,5.67
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",2436.1293922914824,5.54
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",3289.5059365069874,5.66
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",3586.4354330826673,5.78
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",5845.136863232614,6.21
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",549.0743608223363,5.8
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",1689.810660886122,5.69
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",1488.9953241499843,5.6
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",657.7325641963819,5.53
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",2397.715039487084,5.44
"['f11', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",1323.9912783484194,5.57
